time,pain_level,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit
2025-05-21 00:00:00,0,12.8,77,8.9,11.7,0,0.0,0.0,0.0,0.0,0.0,0,1015.4,1013.1,14,14,0,0,20700.0,-0.0,0.0,0.34
2025-05-21 01:00:00,0,12.8,73,8.1,11.5,0,0.0,0.0,0.0,0.0,0.0,0,1015.6,1013.3,19,19,0,0,22600.0,-0.0,0.0,0.4
2025-05-21 02:00:00,0,12.5,76,8.4,10.8,0,0.0,0.0,0.0,0.0,0.0,1,1015.8,1013.5,23,23,0,18,21500.0,0.0,0.01,0.35
2025-05-21 03:00:00,0,12.9,79,9.3,11.2,0,0.0,0.0,0.0,0.0,0.0,3,1015.7,1013.4,100,100,0,21,19500.0,0.0,0.01,0.31
2025-05-21 04:00:00,0,12.4,82,9.4,10.3,0,0.0,0.0,0.0,0.0,0.0,3,1015.8,1013.5,100,100,0,1,17900.0,0.0,0.01,0.26
2025-05-21 05:00:00,0,12.6,82,9.6,10.3,0,0.0,0.0,0.0,0.0,0.0,3,1015.9,1013.6,100,100,2,99,17900.0,0.0,0.02,0.26
2025-05-21 06:00:00,0,11.7,83,8.9,9.4,1,0.0,0.0,0.0,0.0,0.0,3,1015.7,1013.4,100,100,1,51,17600.0,0.0,0.03,0.23
2025-05-21 07:00:00,0,11.8,82,8.9,9.5,5,0.0,0.0,0.0,0.0,0.0,3,1016.2,1013.9,100,100,100,55,17800.0,0.0,0.04,0.25
2025-05-21 08:00:00,0,11.5,80,8.2,8.9,5,0.0,0.0,0.0,0.0,0.0,3,1016.2,1013.9,100,100,100,99,19100.0,0.0,0.05,0.27
2025-05-21 09:00:00,0,11.4,83,8.7,8.8,19,0.0,0.0,0.0,0.0,0.0,3,1015.9,1013.6,100,100,100,99,17400.0,0.0,0.06,0.23
